County,City,Vaccination Rate (5+) in %,Person Vaccinated (5+),Latitude,Longitude
Los Angeles,Agoura Hills,81,16259,34.1533,-118.7617
Los Angeles,Alhambra,82,68324,34.0819,-118.135
Los Angeles,Arcadia,84,54504,34.1397,-118.0353
Los Angeles,Artesia,81,13207,33.8676,-118.08055
Los Angeles,Avalon,24,871,33.345,-118.325
Los Angeles,Azusa,68,42983,34.130657,-117.906869
Los Angeles,Baldwin Park,77,56217,34.085,-117.961
Los Angeles,Bell,70,23934,33.974,-118.1909
Los Angeles,Bell Gardens,69,27750,33.968056,-118.156111
Los Angeles,Bellflower,71,52175,33.8822,-118.118
Los Angeles,Beverly Hills,83,27623,34.0736,-118.4004
Los Angeles,Bradbury,85,972,34.1494,-117.9744
Los Angeles,Burbank,80,80588,34.1808,-118.309
Los Angeles,Calabasas,82,19206,34.1383,-118.6608
Los Angeles,Carson,81,72571,33.8366,-118.2769
Los Angeles,Cerritos,87,43338,33.87,-118.07
Los Angeles,Claremont,72,26080,34.1,-117.72
Los Angeles,Commerce,86,10498,33.9948,-118.1789
Los Angeles,Compton,67,61889,33.8958,-118.2201
Los Angeles,Covina,77,47901,34.0916,-117.8792
Los Angeles,Cudahy,71,16039,33.9537,-118.1738
Los Angeles,Culver City,90,34705,34.0213,-118.4013
Los Angeles,Diamond Bar,83,46097,34.0286,-117.8103
Los Angeles,Downey,77,82883,33.9451,-118.1281
Los Angeles,Duarte,80,19976,34.141,-117.9587
Los Angeles,El Monte,75,83222,34.0733,-118.0275
Los Angeles,El Segundo,90,14643,33.919182,-118.416466
Los Angeles,Gardena,77,44875,33.893787,-118.307991
Los Angeles,Glendale,n/a,n/a,34.1425,-118.2551
Los Angeles,Glendora,74,37417,34.144964,-117.847804
Los Angeles,Hawaiian Gardens,69,9519,33.8307,-118.0728
Los Angeles,Hawthorne,72,60632,33.9166,-118.3333
Los Angeles,Hermosa Beach,83,15780,33.8621,-118.4
Los Angeles,Hidden Hills,74,1357,34.181,-118.676
Los Angeles,Huntington Park,69,38571,33.9849,-118.2278
Los Angeles,Industry,n/a,1307,34.019733,-117.958672
Los Angeles,Inglewood,70,74082,33.9616,-118.3522
Los Angeles,Irwindale,98,1421,34.1067,-117.9686
Los Angeles,La Canada Flintridge,89,17799,34.2077,-118.207
Los Angeles,La Habra Heights,71,4244,33.9639,-117.9528
Los Angeles,La Mirada,72,34070,33.9172,-118.0111
Los Angeles,La Puente,75,28775,34.03241,-117.955195
Los Angeles,La Verne,70,23842,34.1008,-117.7669
Los Angeles,Lakewood,76,58899,33.8713,-118.1258
Los Angeles,Lancaster,62,93666,34.686787,-118.15416
Los Angeles,Lawndale,74,23349,33.8881,-118.3535
Los Angeles,Lomita,73,14411,33.8167,-118.3333
Los Angeles,Long Beach,n/a,n/a,33.77005,-118.193741
Los Angeles,Los Angeles,95,32538,34.0522,-118.2437
Los Angeles,Lynwood,69,46085,33.9238,-118.2014
Los Angeles,Malibu,63,7562,34.0312,-118.7882
Los Angeles,Manhattan Beach,87,29782,33.881248,-118.407211
Los Angeles,Maywood,69,17988,33.9717,-118.2046
Los Angeles,Monrovia,77,30883,34.1477,-117.989
Los Angeles,Monterey Park,90,53272,34.062511,-118.122849
Los Angeles,Montebello,75,45739,34.015444,-118.111012
Los Angeles,Norwalk,75,75232,33.9022,-118.0817
Los Angeles,Palmdale,71,105133,34.5794,-118.1093
Los Angeles,Palos Verdes Estates,84,11108,33.774271,-118.425754
Los Angeles,Paramount,70,36210,33.9,-118.1667
Los Angeles,Pasadena,n/a,n/a,34.1478,-118.1445
Los Angeles,Pico Rivera,77,46943,33.9831,-118.0967
Los Angeles,Pomona,68,100227,34.0551,-117.7499
Los Angeles,Rancho Palos Verdes,84,34687,33.7556,-118.3634
Los Angeles,Redondo Beach,84,54499,33.85,-118.38
Los Angeles,Rolling Hills,75,1401,33.7594,-118.3416
Los Angeles,Rolling Hills Estates,92,7351,33.78779,-118.35813
Los Angeles,Rosemead,84,44232,34.07,-118.082
Los Angeles,San Dimas,72,24057,34.1067,-117.8067
Los Angeles,San Fernando,77,18185,34.2819,-118.439
Los Angeles,San Gabriel,87,34155,34.096756,-118.105667
Los Angeles,San Marino,88,11376,34.1213,-118.1326
Los Angeles,Santa Clarita,n/a,n/a,34.3917,-118.5426
Los Angeles,Santa Fe Springs,77,13358,33.9472,-118.0853
Los Angeles,Santa Monica,85,76574,34.0194,-118.4955
Los Angeles,Sierra Madre,85,9148,34.16,-118.05
Los Angeles,Signal Hill,75,8347,33.797337,-118.161659
Los Angeles,South El Monte,75,16268,34.0489,-118.0483
Los Angeles,South Gate,75,68186,33.956,-118.2113
Los Angeles,South Pasadena,90,22610,34.108957,-118.156615
Los Angeles,Temple City,86,30472,34.102778,-118.05805
Los Angeles,Torrance,83,117593,33.840763,-118.345413
Los Angeles,Vernon,n/a,3529,34.0233,-118.1919
Los Angeles,Walnut,85,25033,34.0203,-117.8653
Los Angeles,West Covina,80,81882,34.0686,-117.939
Los Angeles,West Hollywood,79,28533,34.0939,-118.3815
Los Angeles,Westlake Village,80,6502,34.137283,-118.882044
Los Angeles,Whittier,74,63873,33.9792,-118.0328
,,,,,
,,,,,
,,,,,
https://la.myneighborhooddata.org/covid-19/,,,,,